id,number,name,form,region,type_1,type_2,ability_1,ability_2,ability_hidden,generation,legendary,mega,height,weight,hp,attack,defense,special_attack,special_defense,speed,total
1,1,Bulbasaur,1,global,Grass,Poison,Overgrow,"",Chrolophyll,1,0,0,0.7,6.9,45,49,49,65,65,45,318
2,2,Ivysaur,1,global,Grass,Poison,Overgrow,"",Chrolophyll,1,0,0,1,13,60,62,63,80,80,60,405
3,3,Venusaur,1,global,Grass,Poison,Overgrow,"",Chrolophyll,1,0,0,2,100,80,82,83,100,100,80,525
4,3,Mega Venusaur,1,global,Grass,Poison,Thick Fat,"","",1,0,1,2.4,155.5,80,100,123,122,120,80,625
5,4,Charmander,1,global,Fire,"",Blaze,"",Solar Power,1,0,0,0.6,8.5,39,52,43,60,50,65,309
6,5,Charmeleon,1,global,Fire,"",Blaze,"",Solar Power,1,0,0,1.1,19,58,64,58,80,65,80,405
7,6,Charizard,1,global,Fire,Flying,Blaze,"",Solar Power,1,0,0,1.7,90.5,78,84,78,109,85,100,534
8,6,Mega Charizard X,1,global,Fire,Dragon,Tough Claws,"","",1,0,1,1.7,110.5,78,130,111,130,85,100,634
9,6,Mega Charizard Y,1,global,Fire,Flying,Drought,"","",1,0,1,1.7,90.5,78,104,78,159,115,100,634
10,7,Squirtle,1,global,Water,"",Torrent,"",Rain Dish,1,0,0,0.5,9,44,48,65,50,64,43,314
11,8,Wartortle,1,global,Water,"",Torrent,"",Rain Dish,1,0,0,1,22.5,59,63,80,65,80,58,405
12,9,Blastoise,1,global,Water,"",Torrent,"",Rain Dish,1,0,0,1.6,85.5,79,83,100,85,105,78,530
13,9,Mega Blastoise,1,global,Water,"",Mega Launcher,"","",1,0,1,1.6,101.1,79,103,120,135,115,78,630
14,10,Caterpie,1,global,Bug,"",Shield Dust,"",Run Away,1,0,0,0.3,2.9,45,30,35,20,20,45,195
15,11,Metapod,1,global,Bug,"",Shed Skin,"","",1,0,0,0.7,9.9,50,20,55,25,25,30,205
16,12,Butterfree,1,global,Bug,Flying,Compound Eyes,"",Tinted Lens,1,0,0,1.1,32,60,45,50,90,80,70,395
17,13,Weedle,1,global,Bug,Poison,Shield Dust,"",Run Away,1,0,0,0.3,3.2,40,35,30,20,20,50,195
18,14,Kakuna,1,global,Bug,Poison,Shed Skin,"","",1,0,0,0.6,10,45,25,50,25,25,35,205
19,15,Beedrill,1,global,Bug,Poison,Swarm,"",Sniper,1,0,0,1,29.5,65,90,40,45,80,75,395
20,15,Mega Beedrill,1,global,Bug,Poison,Adaptability,"","",1,0,1,1.4,40.5,65,150,40,15,80,145,495
21,16,Pidgey,1,global,Normal,Flying,Keen Eye,Tangled Feet,Big Pecks,1,0,0,0.3,1.8,40,45,40,35,35,56,251
22,17,Pidgeotto,1,global,Normal,Flying,Keen Eye,Tangled Feet,Big Pecks,1,0,0,1.1,30,63,60,55,50,50,71,349
23,18,Pidgeot,1,global,Normal,Flying,Keen Eye,Tangled Feet,Big Pecks,1,0,0,1.5,39.5,83,80,75,70,70,101,479
24,18,Mega Pidgeot,1,global,Normal,Flying,No Guard,"","",1,0,1,2.2,50.5,83,80,80,135,80,121,579
25,19,Rattata,1,global,Normal,"",Run Away,Guts,Hustle,1,0,0,0.3,3.5,30,56,35,25,35,72,253
26,19,Rattata,1,alolan,Dark,Normal,Gluttony,Hustle,Thick Fat,7,0,0,0.3,3.8,30,56,35,25,35,72,253
27,20,Raticate,1,global,Normal,"",Run Away,Guts,Hustle,1,0,0,0.7,18.5,55,81,60,50,70,97,413
28,20,Raticate,1,alolan,Dark,Normal,Gluttony,Hustle,Thick Fat,7,0,0,0.7,25.5,75,71,70,40,80,77,413
29,21,Spearow,1,global,Normal,Flying,Keen Eye,"",Sniper,1,0,0,0.3,2,40,60,30,31,31,70,262
30,22,Fearow,1,global,Normal,Flying,Keen Eye,"",Sniper,1,0,0,1.2,38,65,90,65,61,61,100,442
31,23,Ekans,1,global,Poison,"",Intimidate,Shed Skin,Unnerve,1,0,0,2,6.9,35,60,44,40,54,55,288
32,24,Arbok,1,global,Poison,"",Intimidate,Shed Skin,Unnerve,1,0,0,3.5,65,60,95,69,65,79,80,448
33,25,Pikachu,1,global,Electric,"",Static,"",Lightning Rod,1,0,0,0.4,6,35,55,40,50,50,90,320
34,26,Raichu,1,global,Electric,"",Static,"",Lightning Rod,1,0,0,0.8,30,60,90,55,90,80,110,485
35,26,Raichu,1,alolan,Electric,Psychic,Surge Surfer,"","",7,0,0,0.7,21,60,85,50,95,85,110,485
36,27,Sandshrew,1,global,Ground,"",Sand Veil,"",Sand Rush,1,0,0,0.6,12,50,75,85,20,30,40,300
37,27,Sandshrew,1,alolan,Ice,Steel,Snow Cloak,"",Slush Rush,7,0,0,0.7,40,50,75,90,10,35,40,300
38,28,Sandslash,1,global,Ground,"",Sand Veil,"",Sand Rush,1,0,0,1,29.5,75,100,110,45,55,65,450
39,28,Sandslash,1,alolan,Ice,Steel,Snow Cloak,"",Slush Rush,7,0,0,1.2,55,75,100,120,25,65,65,450
40,29,Nidoran F,1,global,Poison,"",Poison Point,Rivalry,Hustle,1,0,0,0.4,7,55,47,52,40,40,41,275
41,30,Nidorina,1,global,Poison,"",Poison Point,Rivalry,Hustle,1,0,0,0.8,20,70,62,67,55,55,56,365
