id,number,name,form,region,type_1,type_2,ability_1,ability_2,ability_hidden,generation,legendary,mega,height,weight,hp,attack,defense,special_attack,special_defense,speed,total,enabled,rarity_tier,gender
1,1,Bulbasaur,0,global,Grass,Poison,Overgrow,"",Chrolophyll,1,0,0,0.7,6.9,45,49,49,65,65,45,318,1,ultra-common,mf
2,2,Ivysaur,0,global,Grass,Poison,Overgrow,"",Chrolophyll,1,0,0,1,13,60,62,63,80,80,60,405,1,common,mf
3,3,Venusaur,0,global,Grass,Poison,Overgrow,"",Chrolophyll,1,0,0,2,100,80,82,83,100,100,80,525,1,rare,fo
4,3,Mega Venusaur,0,global,Grass,Poison,Thick Fat,"","",1,0,1,2.4,155.5,80,100,123,122,120,80,625,1,rare,fo
5,4,Charmander,0,global,Fire,"",Blaze,"",Solar Power,1,0,0,0.6,8.5,39,52,43,60,50,65,309,1,ultra-common,mf
6,5,Charmeleon,0,global,Fire,"",Blaze,"",Solar Power,1,0,0,1.1,19,58,64,58,80,65,80,405,1,common,mf
7,6,Charizard,0,global,Fire,Flying,Blaze,"",Solar Power,1,0,0,1.7,90.5,78,84,78,109,85,100,534,1,rare,mf
8,6,Mega Charizard X,0,global,Fire,Dragon,Tough Claws,"","",1,0,1,1.7,110.5,78,130,111,130,85,100,634,1,rare,mf
9,6,Mega Charizard Y,1,global,Fire,Flying,Drought,"","",1,0,1,1.7,90.5,78,104,78,159,115,100,634,1,rare,mf
10,7,Squirtle,0,global,Water,"",Torrent,"",Rain Dish,1,0,0,0.5,9,44,48,65,50,64,43,314,1,ultra-common,mf
11,8,Wartortle,0,global,Water,"",Torrent,"",Rain Dish,1,0,0,1,22.5,59,63,80,65,80,58,405,1,common,mf
12,9,Blastoise,0,global,Water,"",Torrent,"",Rain Dish,1,0,0,1.6,85.5,79,83,100,85,105,78,530,1,rare,mf
13,9,Mega Blastoise,0,global,Water,"",Mega Launcher,"","",1,0,1,1.6,101.1,79,103,120,135,115,78,630,1,rare,mf
14,10,Caterpie,0,global,Bug,"",Shield Dust,"",Run Away,1,0,0,0.3,2.9,45,30,35,20,20,45,195,1,ultra-common,mf
15,11,Metapod,0,global,Bug,"",Shed Skin,"","",1,0,0,0.7,9.9,50,20,55,25,25,30,205,1,ultra-common,mf
16,12,Butterfree,0,global,Bug,Flying,Compound Eyes,"",Tinted Lens,1,0,0,1.1,32,60,45,50,90,80,70,395,1,ultra-common,fo
17,13,Weedle,0,global,Bug,Poison,Shield Dust,"",Run Away,1,0,0,0.3,3.2,40,35,30,20,20,50,195,1,ultra-common,mf
18,14,Kakuna,0,global,Bug,Poison,Shed Skin,"","",1,0,0,0.6,10,45,25,50,25,25,35,205,1,ultra-common,mf
19,15,Beedrill,0,global,Bug,Poison,Swarm,"",Sniper,1,0,0,1,29.5,65,90,40,45,80,75,395,1,ultra-common,mf
20,15,Mega Beedrill,0,global,Bug,Poison,Adaptability,"","",1,0,1,1.4,40.5,65,150,40,15,80,145,495,1,common,mf
21,16,Pidgey,0,global,Normal,Flying,Keen Eye,Tangled Feet,Big Pecks,1,0,0,0.3,1.8,40,45,40,35,35,56,251,1,ultra-common,mf
22,17,Pidgeotto,0,global,Normal,Flying,Keen Eye,Tangled Feet,Big Pecks,1,0,0,1.1,30,63,60,55,50,50,71,349,1,ultra-common,mf
23,18,Pidgeot,0,global,Normal,Flying,Keen Eye,Tangled Feet,Big Pecks,1,0,0,1.5,39.5,83,80,75,70,70,101,479,1,common,mf
24,18,Mega Pidgeot,0,global,Normal,Flying,No Guard,"","",1,0,1,2.2,50.5,83,80,80,135,80,121,579,1,rare,mf
25,19,Rattata,0,global,Normal,"",Run Away,Guts,Hustle,1,0,0,0.3,3.5,30,56,35,25,35,72,253,1,ultra-common,fo
26,19,Rattata,0,alolan,Dark,Normal,Gluttony,Hustle,Thick Fat,7,0,0,0.3,3.8,30,56,35,25,35,72,253,1,ultra-common,fo
27,20,Raticate,0,global,Normal,"",Run Away,Guts,Hustle,1,0,0,0.7,18.5,55,81,60,50,70,97,413,1,ultra-common,fo
28,20,Raticate,0,alolan,Dark,Normal,Gluttony,Hustle,Thick Fat,7,0,0,0.7,25.5,75,71,70,40,80,77,413,1,ultra-common,fo
29,21,Spearow,0,global,Normal,Flying,Keen Eye,"",Sniper,1,0,0,0.3,2,40,60,30,31,31,70,262,1,ultra-common,mf
